year,country_code,country,gold,silver,bronze,medals_total,iso_code,gdp,population,surface_area,log_gdp,log_population,gdp_per_capita,medals_per_million,host_flag
1960,ARG,ARG,0,3,1,4,ARG,15865474315.4056,20386045.0,,23.487411158503186,16.830361156105294,778.251706763406,0.19621265429366022,0
1960,AUS,Australia,11,24,11,46,AUS,18635682981.7093,10276477.0,,23.6483440196868,16.145368054974607,1813.4310991703967,4.476242198566688,0
1960,AUT,Austria,1,2,0,3,AUT,6624086313.14334,7047539.0,,22.613978284310317,15.768189035832354,939.9148146811731,0.4256805106009346,0
1960,BEL,BEL,0,2,2,4,BEL,11810619368.3874,9153489.0,,23.192264910182505,16.029645676046368,1290.2860721619263,0.43699183994212476,0
1960,BRA,BRA,0,0,13,13,BRA,17030465539.3906,72388126.0,,23.55826966767665,18.097552838380707,235.26600950258887,0.179587464386079,0
1960,CAN,CAN,0,9,0,9,CAN,40563768946.9503,17909356.0,,24.426141114667473,16.7008338158248,2264.948496581915,0.5025306325922607,0
1960,DEN,Denmark,2,17,4,23,DNK,6361166544.50349,4579603.0,,22.573477616426334,15.337122871110626,1389.0213943224971,5.02226939758752,0
1960,ESP,ESP,0,0,14,14,ESP,12424514013.7604,30455000.0,,23.242937294583495,17.23176074225272,407.9630278693285,0.45969463142341155,0
1960,ETH,ETH,1,0,0,1,ETH,1610511693.84215,21376693.0,,21.19981778771019,16.877811774328936,75.33960907059618,0.04677992054243376,0
1960,FIN,FIN,1,1,4,6,FIN,5279481824.12983,4429634.0,,22.38709379047925,15.303827520098062,1191.855088734155,1.3545137137740952,0
1960,FRA,France,0,6,6,12,FRA,61959085885.3427,47412964.0,,24.849740099083192,17.674406251380127,1306.7962991164757,0.2530953348539864,0
1960,GBR,United Kingdom,2,11,15,28,GBR,73233967692.1028,52400000.0,,25.01692518979024,17.77441714929127,1397.5948032844046,0.5343511450381679,0
1960,GER,Germany,34,33,22,89,DEU,84619845881.2608,72814900.0,,25.161434660932738,18.10343116255447,1162.1226683173472,1.222277308627767,0
1960,GHA,GHA,0,1,0,1,GHA,1217230094.97205,6961215.0,,20.919843700436655,15.755864586040731,174.85885653180515,0.14365308354935166,0
1960,GRE,Greece,3,0,0,3,GRC,4274890306.82895,8331725.0,,22.176024279784635,15.935581075537469,513.0858623909154,0.3600694934122286,0
1960,IND,IND,0,13,0,13,IND,37029883876.1839,435990338.0,,24.334991095928153,19.893130640517303,84.93280847931061,0.02981717452646852,0
1960,IRI,IRI,0,1,3,4,IRN,4199134389.9037,21470434.0,,22.15814424335272,16.882187383903105,195.57752721271027,0.18630270818000233,0
1960,IRQ,IRQ,0,0,1,1,IRQ,1537252193.09912,7022052.0,,21.153262369434742,15.764566040980732,218.9178025311006,0.1424085153456568,0
1960,ITA,ITA,36,18,34,88,ITA,42012422612.3955,50199700.0,,24.461231187982147,17.73151960854848,836.9058502818841,1.7529985238955612,1
1960,JPN,JPN,9,10,12,31,JPN,47419238274.4619,93216000.0,,24.58229385407342,18.3504299387413,508.70277929177286,0.3325609337452798,0
1960,MAR,MAR,0,1,0,1,MAR,2037154741.93211,11624933.0,,21.43481993690825,16.268662745980226,175.24012757166946,0.08602200115906045,0
1960,MEX,MEX,0,0,1,1,MEX,13040000000.0,36724615.0,,23.291287393444918,17.418957796647277,355.07519956301786,0.027229693218022846,0
1960,NED,NED,0,1,2,3,NLD,13282979014.563,11486631.0,,23.309749279223738,16.256694395341796,1156.3859772776718,0.2611731847223089,0
1960,NOR,NOR,2,0,0,2,NOR,5197398721.41367,3581239.0,,22.371424091487093,15.091219387887241,1451.2850779893968,0.5584659387435467,0
1960,NZL,NZL,2,0,1,3,NZL,5536098360.49526,2371800.0,,22.434555822534442,14.679159718512832,2334.1337214331984,1.2648621300278269,0
1960,PAK,PAK,13,0,1,14,PAK,3749265014.69971,45709310.0,,22.04482566163891,17.637812555028823,82.02410000719131,0.30628333702696453,0
1960,POR,POR,0,2,0,2,PRT,3339150157.85605,8857716.0,,21.928982167803042,15.996799501537891,376.97643025087393,0.22579184069572789,0
1960,RSA,RSA,0,1,2,3,ZAF,8748596500.5614,16440172.0,,22.89215912451465,16.615238409824684,532.1475043303318,0.18247984266831271,0
1960,SGP,SGP,0,1,0,1,SGP,704751700.302494,1646400.0,,20.373356100587717,14.314101644061923,428.05618337129135,0.6073858114674441,0
1960,SUI,Switzerland,0,6,6,12,CHE,10412232620.5258,5327827.0,,23.066247165408665,15.488454020705232,1954.3113206426938,2.252325385189872,0
1960,SWE,SWE,2,2,3,7,SWE,15930075466.8898,7484656.0,,23.491474698263914,15.828365616195903,2128.3644120571203,0.9352467234299078,0
1960,TUR,TUR,7,2,0,9,TUR,7566666666.66667,28329898.0,,22.74701847276566,17.159428271376637,267.0912075527653,0.31768557726540353,0
1960,USA,United States,81,23,21,125,USA,541988586206.897,180671000.0,,27.01851077950546,19.01218825568802,2999.8648715449463,0.6918653242634402,0
1960,VEN,VEN,0,0,1,1,VEN,7663938303.07171,8160090.0,,22.75979182735706,15.914765756291231,939.1977665775389,0.1225476679791522,0
1964,ARG,ARG,0,1,0,1,ARG,25605249381.7597,21769453.0,2780400.0,23.966063221386225,16.896018306574433,1176.200861903131,0.04593592682370109,0
1964,AUS,Australia,8,6,30,44,AUS,23835843813.735,11167000.0,7741220.0,23.894456327272966,16.22847355842793,2134.489461246082,3.9401808901226834,0
1964,BEL,BEL,2,0,1,3,BEL,16168044450.2523,9378113.0,33120.0,23.50630256631735,16.053889128036573,1724.0189417905606,0.31989377820463455,0
1964,BRA,BRA,0,0,12,12,BRA,20963733694.9749,81488595.0,8515770.0,23.766059814837458,18.21597362976846,257.25972689767076,0.14725987115129424,0
1964,CAN,CAN,2,2,1,5,CAN,49503663836.3665,19325000.0,15640500.0,24.625312520678232,16.77691015243776,2561.638490885718,0.258732212160414,0
1964,DEN,Denmark,7,1,4,12,DNK,9677401337.17309,4722072.0,42920.0,22.993059245290286,15.367758244287716,2049.397242814826,2.5412573124679168,0
1964,ETH,ETH,1,0,0,1,ETH,1984129185.6,23666548.0,1221900.0,21.408445957398964,16.979573132240404,83.83686482709687,0.04225373299054851,0
1964,FIN,FIN,3,0,2,5,FIN,7848987792.54261,4548543.0,338150.0,22.78365041680164,15.330317519865611,1725.6048348982542,1.0992531014876632,0
1964,FRA,France,1,13,17,31,FRA,93424179943.3453,49401492.0,549086.0,25.26041603457909,17.715491184131217,1891.1206152102716,0.6275114120035079,0
1964,GBR,United Kingdom,4,19,5,28,GBR,94407558351.1616,54000000.0,243610.0,25.27088697417191,17.80449460452855,1748.2881176141038,0.5185185185185186,0
1964,GER,Germany,22,44,50,116,DEU,123330404665.086,75318337.0,356970.0,25.53813280767587,18.13723418238043,1637.4552277367197,1.5401295968603237,0
1964,GHA,GHA,0,0,1,1,GHA,1731296199.52296,7695739.0,238540.0,21.272136213188897,15.856177357031182,224.96815439335455,0.12994203675566438,0
