year,country_code,country,gold,silver,bronze,medals_total
1960,ARG,ARG,0,3,1,4
1960,AUS,Australia,11,24,11,46
1960,AUT,Austria,1,2,0,3
1960,BEL,BEL,0,2,2,4
1960,BRA,BRA,0,0,13,13
1960,BUL,BUL,1,3,3,7
1960,CAN,CAN,0,9,0,9
1960,DEN,Denmark,2,17,4,23
1960,ESP,ESP,0,0,14,14
1960,ETH,ETH,1,0,0,1
1960,FIN,FIN,1,1,4,6
1960,FRA,France,0,6,6,12
1960,GBR,United Kingdom,2,11,15,28
1960,GER,Germany,34,33,22,89
1960,GHA,GHA,0,1,0,1
1960,GRE,Greece,3,0,0,3
1960,HUN,Hungary,13,16,37,66
1960,IND,IND,0,13,0,13
1960,IRI,IRI,0,1,3,4
1960,IRQ,IRQ,0,0,1,1
1960,ITA,ITA,36,18,34,88
1960,JPN,JPN,9,10,12,31
1960,MAR,MAR,0,1,0,1
1960,MEX,MEX,0,0,1,1
1960,NED,NED,0,1,2,3
1960,NOR,NOR,2,0,0,2
1960,NZL,NZL,2,0,1,3
1960,PAK,PAK,13,0,1,14
1960,POL,POL,4,11,15,30
1960,POR,POR,0,2,0,2
1960,ROU,ROU,3,1,11,15
1960,RSA,RSA,0,1,2,3
1960,SGP,SGP,0,1,0,1
1960,SUI,Switzerland,0,6,6,12
1960,SWE,SWE,2,2,3,7
1960,TCH,TCH,4,7,11,22
1960,TPE,TPE,0,1,0,1
1960,TUR,TUR,7,2,0,9
1960,UAR,UAR,0,1,1,2
1960,URS,URS,61,63,45,169
1960,USA,United States,81,23,21,125
1960,VEN,VEN,0,0,1,1
1960,WIF,WIF,0,0,5,5
1960,YUG,YUG,16,1,0,17
1964,ARG,ARG,0,1,0,1
1964,AUS,Australia,8,6,30,44
1964,BAH,BAH,2,0,0,2
1964,BEL,BEL,2,0,1,3
1964,BRA,BRA,0,0,12,12
1964,BUL,BUL,3,5,2,10
1964,CAN,CAN,2,2,1,5
1964,CUB,CUB,0,1,0,1
1964,DEN,Denmark,7,1,4,12
1964,ETH,ETH,1,0,0,1
1964,FIN,FIN,3,0,2,5
1964,FRA,France,1,13,17,31
1964,GBR,United Kingdom,4,19,5,28
1964,GER,Germany,22,44,50,116
1964,GHA,GHA,0,0,1,1
1964,HUN,Hungary,42,7,7,56
1964,IND,IND,15,0,0,15
1964,IRI,IRI,0,0,2,2
1964,IRL,IRL,0,0,1,1
1964,ITA,ITA,14,28,9,51
1964,JPN,JPN,32,5,25,62
1964,KEN,KEN,0,0,1,1
1964,KOR,KOR,0,2,1,3
1964,MEX,MEX,0,0,1,1
1964,NED,NED,5,10,16,31
1964,NGR,NGR,0,0,1,1
1964,NZL,NZL,4,0,2,6
1964,PAK,PAK,0,16,0,16
1964,PHI,PHI,0,1,0,1
1964,POL,POL,10,13,23,46
1964,ROU,ROU,2,4,10,16
1964,SUI,Switzerland,1,4,1,6
1964,SWE,SWE,3,4,8,15
1964,TCH,TCH,5,37,12,54
1964,TTO,TTO,0,1,5,6
1964,TUN,TUN,0,1,1,2
1964,TUR,TUR,2,3,1,6
1964,URS,URS,60,63,51,174
1964,URU,URU,0,0,1,1
1964,USA,United States,95,37,37,169
1964,YUG,YUG,2,11,2,15
1968,ARG,ARG,0,0,2,2
1968,AUS,Australia,5,35,11,51
1968,AUT,Austria,0,2,3,5
1968,BEL,BEL,0,1,2,3
1968,BRA,BRA,0,1,3,4
1968,BUL,BUL,2,21,3,26
1968,CAN,CAN,3,3,4,10
1968,CMR,CMR,0,1,0,1
1968,CUB,CUB,0,10,0,10
1968,DEN,Denmark,5,6,6,17
1968,ETH,ETH,1,1,0,2
1968,FIN,FIN,1,2,1,4
1968,FRA,France,12,5,10,27
1968,FRG,FRG,17,16,18,51
1968,GBR,United Kingdom,9,5,5,19
1968,GDR,GDR,13,20,19,52
1968,GRE,Greece,0,0,1,1
1968,HUN,Hungary,32,20,29,81
1968,IND,IND,0,0,16,16
1968,IRI,IRI,2,1,2,5
1968,ITA,ITA,5,8,20,33
1968,JAM,JAM,0,1,0,1
1968,JPN,JPN,16,25,22,63
1968,KEN,KEN,3,7,2,12
1968,KOR,KOR,0,1,1,2
